subject_id,timepoint,mission_phase,hazard,delta_hazard_relevance,reference_median_delta,reference_mad_delta,lower_bound,upper_bound,robust_z,envelope_position,envelope_exceedance,interpretation
Demo_Crew_01,T0_baseline,baseline,space_radiation,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for space_radiation remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T0_baseline,baseline,isolation_and_confinement,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for isolation_and_confinement remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T0_baseline,baseline,distance_from_earth,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for distance_from_earth remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T0_baseline,baseline,gravity_fields,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for gravity_fields remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T0_baseline,baseline,hostile_closed_environments,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for hostile_closed_environments remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,space_radiation,0.025,0.0,0.05,-0.12,0.12,0.3372,within_expected_envelope,0.0,The hazard-context delta for space_radiation remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,isolation_and_confinement,0.03,0.0,0.05,-0.12,0.12,0.4047,within_expected_envelope,0.0,The hazard-context delta for isolation_and_confinement remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,distance_from_earth,0.03,0.0,0.05,-0.12,0.12,0.4047,within_expected_envelope,0.0,The hazard-context delta for distance_from_earth remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,gravity_fields,0.02222,0.0,0.05,-0.12,0.12,0.2997,within_expected_envelope,0.0,The hazard-context delta for gravity_fields remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T1_pre,pre_mission,hostile_closed_environments,0.024,0.0,0.05,-0.12,0.12,0.3238,within_expected_envelope,0.0,The hazard-context delta for hostile_closed_environments remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T2_inflight,inflight,space_radiation,0.255,0.0,0.05,-0.12,0.12,3.4399,outside_expected_envelope,0.135,"The hazard-context delta for space_radiation is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T2_inflight,inflight,isolation_and_confinement,0.4,0.0,0.05,-0.12,0.12,5.3959,outside_expected_envelope,0.28,"The hazard-context delta for isolation_and_confinement is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T2_inflight,inflight,distance_from_earth,0.25,0.0,0.05,-0.12,0.12,3.3725,outside_expected_envelope,0.13,"The hazard-context delta for distance_from_earth is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T2_inflight,inflight,gravity_fields,0.23972,0.0,0.05,-0.12,0.12,3.2338,outside_expected_envelope,0.11972,"The hazard-context delta for gravity_fields is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T2_inflight,inflight,hostile_closed_environments,0.243,0.0,0.05,-0.12,0.12,3.278,outside_expected_envelope,0.123,"The hazard-context delta for hostile_closed_environments is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,space_radiation,0.38539,0.0,0.05,-0.12,0.12,5.1988,outside_expected_envelope,0.26539,"The hazard-context delta for space_radiation is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,isolation_and_confinement,0.55,0.0,0.05,-0.12,0.12,7.4194,outside_expected_envelope,0.43,"The hazard-context delta for isolation_and_confinement is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,distance_from_earth,0.4,0.0,0.05,-0.12,0.12,5.3959,outside_expected_envelope,0.28,"The hazard-context delta for distance_from_earth is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,gravity_fields,0.3725,0.0,0.05,-0.12,0.12,5.025,outside_expected_envelope,0.2525,"The hazard-context delta for gravity_fields is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T3_post,postflight,hostile_closed_environments,0.3705,0.0,0.05,-0.12,0.12,4.998,outside_expected_envelope,0.2505,"The hazard-context delta for hostile_closed_environments is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T4_recovery,recovery,space_radiation,0.08731,0.0,0.05,-0.12,0.12,1.1778,within_expected_envelope,0.0,The hazard-context delta for space_radiation remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T4_recovery,recovery,isolation_and_confinement,0.13,0.0,0.05,-0.12,0.12,1.7537,outside_expected_envelope,0.01,"The hazard-context delta for isolation_and_confinement is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T4_recovery,recovery,distance_from_earth,0.1,0.0,0.05,-0.12,0.12,1.349,near_envelope_boundary,0.0,"The hazard-context delta for distance_from_earth is near the expected variability envelope boundary. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_01,T4_recovery,recovery,gravity_fields,0.08611,0.0,0.05,-0.12,0.12,1.1616,within_expected_envelope,0.0,The hazard-context delta for gravity_fields remains within the expected variability envelope under the current calibration data.
Demo_Crew_01,T4_recovery,recovery,hostile_closed_environments,0.086,0.0,0.05,-0.12,0.12,1.1601,within_expected_envelope,0.0,The hazard-context delta for hostile_closed_environments remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T0_baseline,baseline,space_radiation,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for space_radiation remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T0_baseline,baseline,isolation_and_confinement,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for isolation_and_confinement remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T0_baseline,baseline,distance_from_earth,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for distance_from_earth remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T0_baseline,baseline,gravity_fields,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for gravity_fields remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T0_baseline,baseline,hostile_closed_environments,0.0,0.0,0.05,-0.12,0.12,0.0,within_expected_envelope,0.0,The hazard-context delta for hostile_closed_environments remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T1_pre,pre_mission,space_radiation,0.02,0.0,0.05,-0.12,0.12,0.2698,within_expected_envelope,0.0,The hazard-context delta for space_radiation remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T1_pre,pre_mission,isolation_and_confinement,0.02,0.0,0.05,-0.12,0.12,0.2698,within_expected_envelope,0.0,The hazard-context delta for isolation_and_confinement remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T1_pre,pre_mission,distance_from_earth,0.02,0.0,0.05,-0.12,0.12,0.2698,within_expected_envelope,0.0,The hazard-context delta for distance_from_earth remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T1_pre,pre_mission,gravity_fields,0.02195,0.0,0.05,-0.12,0.12,0.2961,within_expected_envelope,0.0,The hazard-context delta for gravity_fields remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T1_pre,pre_mission,hostile_closed_environments,0.0225,0.0,0.05,-0.12,0.12,0.3035,within_expected_envelope,0.0,The hazard-context delta for hostile_closed_environments remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T2_inflight,inflight,space_radiation,0.24116,0.0,0.05,-0.12,0.12,3.2532,outside_expected_envelope,0.12116,"The hazard-context delta for space_radiation is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T2_inflight,inflight,isolation_and_confinement,0.33,0.0,0.05,-0.12,0.12,4.4516,outside_expected_envelope,0.21,"The hazard-context delta for isolation_and_confinement is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T2_inflight,inflight,distance_from_earth,0.25,0.0,0.05,-0.12,0.12,3.3725,outside_expected_envelope,0.13,"The hazard-context delta for distance_from_earth is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T2_inflight,inflight,gravity_fields,0.23861,0.0,0.05,-0.12,0.12,3.2188,outside_expected_envelope,0.11861,"The hazard-context delta for gravity_fields is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T2_inflight,inflight,hostile_closed_environments,0.2685,0.0,0.05,-0.12,0.12,3.622,outside_expected_envelope,0.1485,"The hazard-context delta for hostile_closed_environments is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T3_post,postflight,space_radiation,0.32731,0.0,0.05,-0.12,0.12,4.4154,outside_expected_envelope,0.20731,"The hazard-context delta for space_radiation is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T3_post,postflight,isolation_and_confinement,0.43,0.0,0.05,-0.12,0.12,5.8006,outside_expected_envelope,0.31,"The hazard-context delta for isolation_and_confinement is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T3_post,postflight,distance_from_earth,0.35,0.0,0.05,-0.12,0.12,4.7214,outside_expected_envelope,0.23,"The hazard-context delta for distance_from_earth is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T3_post,postflight,gravity_fields,0.31611,0.0,0.05,-0.12,0.12,4.2643,outside_expected_envelope,0.19611,"The hazard-context delta for gravity_fields is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T3_post,postflight,hostile_closed_environments,0.3475,0.0,0.05,-0.12,0.12,4.6877,outside_expected_envelope,0.2275,"The hazard-context delta for hostile_closed_environments is outside the expected variability envelope. This identifies a baseline-relative change that may deserve expert review. This is a baseline-relative change relative to expected variability, not diagnosis, risk scoring, or exposure measurement."
Demo_Crew_02,T4_recovery,recovery,space_radiation,0.0577,0.0,0.05,-0.12,0.12,0.7784,within_expected_envelope,0.0,The hazard-context delta for space_radiation remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T4_recovery,recovery,isolation_and_confinement,0.08,0.0,0.05,-0.12,0.12,1.0792,within_expected_envelope,0.0,The hazard-context delta for isolation_and_confinement remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T4_recovery,recovery,distance_from_earth,0.08,0.0,0.05,-0.12,0.12,1.0792,within_expected_envelope,0.0,The hazard-context delta for distance_from_earth remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T4_recovery,recovery,gravity_fields,0.06389,0.0,0.05,-0.12,0.12,0.8619,within_expected_envelope,0.0,The hazard-context delta for gravity_fields remains within the expected variability envelope under the current calibration data.
Demo_Crew_02,T4_recovery,recovery,hostile_closed_environments,0.0675,0.0,0.05,-0.12,0.12,0.9106,within_expected_envelope,0.0,The hazard-context delta for hostile_closed_environments remains within the expected variability envelope under the current calibration data.
